element,index,n,pearson_r,pearson_p,pearson_r2,spearman_rho,spearman_p,kendall_tau,kendall_p,date
N_%,mND705,60,-0.3282,0.0105,0.1077,-0.3502,0.0061,-0.2388,0.0071,date1
N_%,VOG1,60,-0.2759,0.0329,0.0761,-0.3212,0.0123,-0.2275,0.0103,date1
N_%,VOG2,60,0.3025,0.0188,0.0915,0.3162,0.0139,0.2105,0.0177,date1
N_%,REP,60,-0.0668,0.6118,0.0045,-0.0754,0.5667,-0.0571,0.5707,date1
N_%,CHL_RE,60,-0.3039,0.0182,0.0924,-0.3639,0.0043,-0.2535,0.0043,date1
N_%,DD,60,0.0614,0.6410,0.0038,-0.0051,0.9694,-0.0045,0.9593,date1
N_%,MCARI_narrow,60,-0.0913,0.4877,0.0083,-0.0742,0.5732,-0.0487,0.5833,date1
N_%,TCARI_narrow,60,-0.1083,0.4101,0.0117,-0.0680,0.6057,-0.0430,0.6278,date1
N_%,OSAVI_narrow,60,-0.2774,0.0319,0.0769,-0.2917,0.0237,-0.1958,0.0273,date1
N_%,TCARI_OSAVI_narrow,60,-0.1199,0.3613,0.0144,0.0705,0.5925,0.0396,0.6552,date1
N_%,ZM,60,-0.3039,0.0182,0.0924,-0.3639,0.0043,-0.2535,0.0043,date1
N_%,GI,60,-0.2221,0.0881,0.0493,-0.3358,0.0087,-0.2264,0.0107,date1
N_%,PRI,60,-0.0908,0.4901,0.0083,-0.0755,0.5663,-0.0509,0.5659,date1
N_%,SIPI_narrow,60,0.1657,0.2058,0.0274,0.2894,0.0249,0.2026,0.0224,date1
N_%,CRI550,60,-0.4352,0.0005,0.1894,-0.3790,0.0028,-0.2569,0.0038,date1
N_%,ARI_narrow,60,0.3384,0.0082,0.1145,0.3566,0.0052,0.2467,0.0054,date1
N_%,PSRI_narrow,60,0.2382,0.0668,0.0567,0.2818,0.0292,0.1924,0.0301,date1
N_%,WBI,60,-0.3718,0.0034,0.1382,-0.3631,0.0044,-0.2513,0.0046,date1
N_%,NDWI_hyper,60,-0.2480,0.0561,0.0615,-0.2662,0.0398,-0.1698,0.0557,date1
N_%,MSI,60,-0.1910,0.1437,0.0365,-0.2149,0.0992,-0.1415,0.1108,date1
N_%,R_Fe,60,-0.0956,0.4677,0.0091,-0.0507,0.7004,-0.0385,0.6645,date1
N_%,R_Mn,60,-0.2873,0.0260,0.0825,-0.3297,0.0101,-0.2354,0.0080,date1
N_%,R_Zn,60,0.1002,0.4464,0.0100,0.0985,0.4542,0.0623,0.4829,date1
N_%,R_Ca,60,-0.0181,0.8908,0.0003,-0.0902,0.4932,-0.0487,0.5833,date1
P_%,mND705,60,-0.0466,0.7236,0.0022,-0.0691,0.5997,-0.0415,0.6455,date1
P_%,VOG1,60,-0.0387,0.7692,0.0015,-0.0869,0.5092,-0.0564,0.5312,date1
P_%,VOG2,60,0.0484,0.7136,0.0023,0.0824,0.5314,0.0495,0.5826,date1
P_%,REP,60,-0.0851,0.5182,0.0072,-0.0070,0.9579,-0.0057,0.9553,date1
P_%,CHL_RE,60,-0.0147,0.9114,0.0002,-0.0628,0.6336,-0.0369,0.6826,date1
P_%,DD,60,-0.0340,0.7963,0.0012,0.0173,0.8956,0.0081,0.9287,date1
P_%,MCARI_narrow,60,0.1474,0.2611,0.0217,0.1119,0.3948,0.0633,0.4821,date1
