,Blue_w1_mean,Blue_w1_std,Blue_w1_median,Blue_w1_p25,Blue_w1_p75,Blue_w1_cv,Blue_w1_range,Green_w1_mean,Green_w1_std,Green_w1_median,Green_w1_p25,Green_w1_p75,Green_w1_cv,Green_w1_range,Red_w1_mean,Red_w1_std,Red_w1_median,Red_w1_p25,Red_w1_p75,Red_w1_cv,Red_w1_range,RedEdge_w1_mean,RedEdge_w1_std,RedEdge_w1_median,RedEdge_w1_p25,RedEdge_w1_p75,RedEdge_w1_cv,RedEdge_w1_range,NIR_w1_mean,NIR_w1_std,NIR_w1_median,NIR_w1_p25,NIR_w1_p75,NIR_w1_cv,NIR_w1_range,Blue_w3_mean,Blue_w3_std,Blue_w3_median,Blue_w3_p25,Blue_w3_p75,Blue_w3_cv,Blue_w3_range,Green_w3_mean,Green_w3_std,Green_w3_median,Green_w3_p25,Green_w3_p75,Green_w3_cv,Green_w3_range,Red_w3_mean,Red_w3_std,Red_w3_median,Red_w3_p25,Red_w3_p75,Red_w3_cv,Red_w3_range,RedEdge_w3_mean,RedEdge_w3_std,RedEdge_w3_median,RedEdge_w3_p25,RedEdge_w3_p75,RedEdge_w3_cv,RedEdge_w3_range,NIR_w3_mean,NIR_w3_std,NIR_w3_median,NIR_w3_p25,NIR_w3_p75,NIR_w3_cv,NIR_w3_range,Blue_w5_mean,Blue_w5_std,Blue_w5_median,Blue_w5_p25,Blue_w5_p75,Blue_w5_cv,Blue_w5_range,Green_w5_mean,Green_w5_std,Green_w5_median,Green_w5_p25,Green_w5_p75,Green_w5_cv,Green_w5_range,Red_w5_mean,Red_w5_std,Red_w5_median,Red_w5_p25,Red_w5_p75,Red_w5_cv,Red_w5_range,RedEdge_w5_mean,RedEdge_w5_std,RedEdge_w5_median,RedEdge_w5_p25,RedEdge_w5_p75,RedEdge_w5_cv,RedEdge_w5_range,NIR_w5_mean,NIR_w5_std,NIR_w5_median,NIR_w5_p25,NIR_w5_p75,NIR_w5_cv,NIR_w5_range,Blue_w7_mean,Blue_w7_std,Blue_w7_median,Blue_w7_p25,Blue_w7_p75,Blue_w7_cv,Blue_w7_range,Green_w7_mean,Green_w7_std,Green_w7_median,Green_w7_p25,Green_w7_p75,Green_w7_cv,Green_w7_range,Red_w7_mean,Red_w7_std,Red_w7_median,Red_w7_p25,Red_w7_p75,Red_w7_cv,Red_w7_range,RedEdge_w7_mean,RedEdge_w7_std,RedEdge_w7_median,RedEdge_w7_p25,RedEdge_w7_p75,RedEdge_w7_cv,RedEdge_w7_range,NIR_w7_mean,NIR_w7_std,NIR_w7_median,NIR_w7_p25,NIR_w7_p75,NIR_w7_cv,NIR_w7_range
1,0.011807,0.000000,0.011807,0.011807,0.011807,0.000000,0.000000,0.014244,0.000000,0.014244,0.014244,0.014244,0.000000,0.000000,0.015855,0.000000,0.015855,0.015855,0.015855,0.000000,0.000000,0.015420,0.000000,0.015420,0.015420,0.015420,0.000000,0.000000,0.011963,0.000000,0.011963,0.011963,0.011963,0.000000,0.000000,0.011872,0.000412,0.012068,0.011516,0.012145,0.034667,0.001227,0.013546,0.000444,0.013439,0.013238,0.014042,0.032762,0.001315,0.015913,0.000444,0.015855,0.015794,0.015963,0.027912,0.001610,0.015162,0.001001,0.015420,0.014352,0.015514,0.066035,0.003313,0.013037,0.001248,0.012548,0.012288,0.013344,0.095693,0.003851,0.011841,0.000670,0.012037,0.011317,0.012283,0.056571,0.002438,0.013361,0.000791,0.013300,0.012774,0.013826,0.059214,0.003109,0.016167,0.000761,0.016024,0.015794,0.016729,0.047098,0.003266,0.014709,0.000954,0.014603,0.014101,0.015420,0.064845,0.004506,0.012642,0.001464,0.012548,0.011638,0.013832,0.115830,0.005589,0.012097,0.001183,0.012037,0.011179,0.012728,0.097773,0.005091,0.013556,0.000942,0.013486,0.012774,0.014228,0.069524,0.003526,0.016449,0.001271,0.016024,0.015717,0.017143,0.077295,0.005198,0.014940,0.001124,0.014792,0.014148,0.015498,0.075261,0.006312,0.012830,0.002139,0.012938,0.011638,0.014189,0.166695,0.009765
2,0.017604,0.000000,0.017604,0.017604,0.017604,0.000000,0.000000,0.024945,0.000000,0.024945,0.024945,0.024945,0.000000,0.000000,0.023538,0.000000,0.023538,0.023538,0.023538,0.000000,0.000000,0.044529,0.000000,0.044529,0.044529,0.044529,0.000000,0.000000,0.081944,0.000000,0.081944,0.081944,0.081944,0.000000,0.000000,0.019197,0.005335,0.017604,0.016653,0.020471,0.277887,0.017911,0.033988,0.007139,0.034642,0.025812,0.040937,0.210052,0.019780,0.029935,0.012028,0.026359,0.023062,0.033029,0.401800,0.039347,0.058240,0.010432,0.061124,0.045628,0.067608,0.179118,0.026047,0.093148,0.020261,0.084983,0.081944,0.095187,0.217509,0.061727,0.020142,0.007236,0.018938,0.014752,0.024719,0.359255,0.027525,0.037424,0.011013,0.037132,0.030266,0.044138,0.294275,0.040581,0.031655,0.014743,0.027862,0.022587,0.041172,0.465734,0.052381,0.062518,0.016963,0.061124,0.046350,0.069775,0.271323,0.067591,0.095716,0.025961,0.093692,0.075364,0.110687,0.271228,0.089040,0.019655,0.006641,0.018969,0.015089,0.023385,0.337886,0.028415,0.037522,0.010784,0.037472,0.029245,0.044540,0.287410,0.043628,0.030223,0.013445,0.027862,0.022142,0.035621,0.444840,0.052381,0.063257,0.017941,0.062883,0.047716,0.071047,0.283625,0.067591,0.098684,0.032784,0.095187,0.073918,0.120907,0.332214,0.129206
3,0.028875,0.000000,0.028875,0.028875,0.028875,0.000000,0.000000,0.043829,0.000000,0.043829,0.043829,0.043829,0.000000,0.000000,0.044361,0.000000,0.044361,0.044361,0.044361,0.000000,0.000000,0.066337,0.000000,0.066337,0.066337,0.066337,0.000000,0.000000,0.105277,0.000000,0.105277,0.105277,0.105277,0.000000,0.000000,0.027113,0.004217,0.027111,0.023937,0.029795,0.155528,0.011991,0.044107,0.005471,0.044339,0.043829,0.048283,0.124041,0.016037,0.041654,0.006259,0.043732,0.035130,0.044361,0.150266,0.017036,0.070058,0.010956,0.070513,0.066337,0.080703,0.156389,0.034996,0.108969,0.015910,0.110834,0.105277,0.116683,0.146003,0.055016,0.026149,0.005396,0.025394,0.022434,0.029795,0.206369,0.020073,0.044100,0.007591,0.044339,0.040055,0.050138,0.172129,0.029276,0.039633,0.009295,0.035253,0.034455,0.047918,0.234535,0.034379,0.072992,0.012382,0.073213,0.070011,0.082430,0.169636,0.047918,0.115126,0.018131,0.113661,0.106788,0.125636,0.157486,0.074904,0.026008,0.005380,0.025777,0.022434,0.029795,0.206853,0.020073,0.045194,0.007884,0.045793,0.039684,0.050309,0.174451,0.033111,0.039979,0.010172,0.039776,0.032048,0.050050,0.254433,0.041402,0.075359,0.011968,0.074438,0.070011,0.085476,0.158816,0.051670,0.120463,0.019045,0.119965,0.109972,0.133516,0.158100,0.078414
4,0.020318,0.000000,0.020318,0.020318,0.020318,0.000000,0.000000,0.033962,0.000000,0.033962,0.033962,0.033962,0.000000,0.000000,0.031373,0.000000,0.031373,0.031373,0.031373,0.000000,0.000000,0.084392,0.000000,0.084392,0.084392,0.084392,0.000000,0.000000,0.108900,0.000000,0.108900,0.108900,0.108900,0.000000,0.000000,0.021889,0.003482,0.023799,0.019705,0.024213,0.159054,0.009707,0.040583,0.008411,0.039823,0.033962,0.047834,0.207261,0.024621,0.029933,0.003377,0.029625,0.028874,0.031373,0.112810,0.011638,0.089169,0.013358,0.095587,0.078630,0.100642,0.149803,0.040633,0.128802,0.021506,0.115887,0.113596,0.150187,0.166966,0.062312,0.023844,0.005175,0.024167,0.020149,0.028031,0.217043,0.019275,0.051003,0.013514,0.050587,0.039823,0.060608,0.264959,0.050649,0.030337,0.005393,0.031112,0.026788,0.033673,0.177787,0.023369,0.095850,0.018163,0.099166,0.078630,0.105886,0.189498,0.065032,0.157149,0.033902,0.158473,0.131030,0.169376,0.215732,0.115866,0.025640,0.006341,0.025608,0.020149,0.029933,0.247292,0.023952,0.056730,0.013303,0.057531,0.047834,0.066980,0.234502,0.053417,0.031928,0.008499,0.031112,0.026267,0.036173,0.266201,0.035253,0.097679,0.017236,0.100579,0.084392,0.108618,0.176455,0.065032,0.171106,0.032609,0.172333,0.152283,0.197111,0.190577,0.115866
5,0.038091,0.000000,0.038091,0.038091,0.038091,0.000000,0.000000,0.053943,0.000000,0.053943,0.053943,0.053943,0.000000,0.000000,0.059756,0.000000,0.059756,0.059756,0.059756,0.000000,0.000000,0.079384,0.000000,0.079384,0.079384,0.079384,0.000000,0.000000,0.111240,0.000000,0.111240,0.111240,0.111240,0.000000,0.000000,0.033608,0.003069,0.033567,0.032049,0.035192,0.091317,0.009645,0.049186,0.003601,0.050247,0.046566,0.052365,0.073219,0.010331,0.054437,0.005899,0.057809,0.048961,0.058391,0.108373,0.018477,0.076347,0.004268,0.074595,0.073936,0.079384,0.055897,0.014319,0.112736,0.014403,0.109290,0.104302,0.114441,0.127762,0.046925,0.030934,0.006415,0.032049,0.025792,0.035192,0.207361,0.026973,0.047423,0.007402,0.048051,0.042406,0.052365,0.156083,0.030173,0.049023,0.011463,0.048961,0.040067,0.058391,0.233826,0.044269,0.074818,0.010975,0.074061,0.069492,0.083073,0.146685,0.044228,0.115732,0.016805,0.110980,0.106528,0.124482,0.145208,0.064067,0.029848,0.007565,0.029917,0.023538,0.034763,0.253445,0.031926,0.046364,0.008617,0.046566,0.040968,0.053355,0.185865,0.033591,0.046579,0.013265,0.043502,0.035176,0.057809,0.284785,0.055923,0.073653,0.012548,0.074061,0.067938,0.083073,0.170369,0.050791,0.116981,0.019637,0.114051,0.104545,0.131095,0.167867,0.089479
6,0.036925,0.000000,0.036925,0.036925,0.036925,0.000000,0.000000,0.056402,0.000000,0.056402,0.056402,0.056402,0.000000,0.000000,0.056061,0.000000,0.056061,0.056061,0.056061,0.000000,0.000000,0.082524,0.000000,0.082524,0.082524,0.082524,0.000000,0.000000,0.105000,0.000000,0.105000,0.105000,0.105000,0.000000,0.000000,0.038264,0.003467,0.039149,0.036925,0.041694,0.090598,0.009553,0.055696,0.003664,0.055041,0.052845,0.056402,0.065791,0.011676,0.057579,0.004951,0.057579,0.055616,0.062378,0.085994,0.013064,0.081313,0.005301,0.081346,0.079038,0.084172,0.065191,0.018668,0.101220,0.007907,0.101231,0.098826,0.105000,0.078113,0.030758,0.038439,0.003796,0.039363,0.036051,0.041694,0.098748,0.014169,0.055544,0.007280,0.054608,0.050680,0.059866,0.131060,0.032090,0.058674,0.006263,0.060998,0.055616,0.062455,0.106747,0.023185,0.081329,0.009999,0.080137,0.073684,0.088003,0.122942,0.037744,0.099418,0.015187,0.098631,0.090816,0.105683,0.152757,0.063222,0.038538,0.005048,0.039363,0.035714,0.041939,0.131000,0.022634,0.054875,0.008594,0.053092,0.050169,0.061521,0.156619,0.034240,0.059239,0.007747,0.060232,0.054757,0.064111,0.130768,0.033673,0.080702,0.012172,0.080137,0.070607,0.090154,0.150832,0.045767,0.098661,0.017663,0.098631,0.084414,0.113628,0.179023,0.072077
7,0.030929,0.000000,0.030929,0.030929,0.030929,0.000000,0.000000,0.049473,0.000000,0.049473,0.049473,0.049473,0.000000,0.000000,0.049206,0.000000,0.049206,0.049206,0.049206,0.000000,0.000000,0.078426,0.000000,0.078426,0.078426,0.078426,0.000000,0.000000,0.126594,0.000000,0.126594,0.126594,0.126594,0.000000,0.000000,0.030336,0.003144,0.030929,0.028721,0.031834,0.103633,0.010949,0.047807,0.002143,0.048035,0.045808,0.049056,0.044818,0.007408,0.047504,0.005384,0.048102,0.045235,0.049206,0.113342,0.020118,0.078785,0.004012,0.078976,0.078426,0.080561,0.050926,0.015025,0.125804,0.010136,0.127455,0.121720,0.130624,0.080572,0.037550,0.028133,0.004127,0.028721,0.025256,0.030929,0.146683,0.016147,0.046544,0.004304,0.047664,0.043999,0.049473,0.092478,0.014970,0.042774,0.007943,0.042690,0.038335,0.048102,0.185707,0.033689,0.078632,0.006795,0.078426,0.073637,0.082210,0.086420,0.025325,0.129085,0.018096,0.130218,0.114977,0.145588,0.140190,0.069364,0.026184,0.004713,0.026176,0.023078,0.029166,0.179988,0.018754,0.045358,0.005734,0.046612,0.040411,0.049767,0.126409,0.020105,0.038720,0.009342,0.039408,0.031895,0.045235,0.241285,0.038365,0.076877,0.009734,0.077091,0.070277,0.084157,0.126623,0.040617,0.132295,0.025176,0.132249,0.110379,0.153875,0.190299,0.088423
8,0.025854,0.000000,0.025854,0.025854,0.025854,0.000000,0.000000,0.038122,0.000000,0.038122,0.038122,0.038122,0.000000,0.000000,0.046170,0.000000,0.046170,0.046170,0.046170,0.000000,0.000000,0.061218,0.000000,0.061218,0.061218,0.061218,0.000000,0.000000,0.082269,0.000000,0.082269,0.082269,0.082269,0.000000,0.000000,0.028012,0.003282,0.028169,0.025854,0.031773,0.117155,0.008955,0.040222,0.002656,0.040349,0.038122,0.041370,0.066046,0.009341,0.049612,0.006314,0.046170,0.044514,0.057303,0.127275,0.015257,0.063552,0.003460,0.064154,0.061218,0.066038,0.054450,0.010975,0.089395,0.008012,0.089386,0.083602,0.095316,0.089630,0.028126,0.028286,0.004267,0.028231,0.025854,0.031773,0.150848,0.018923,0.042289,0.003799,0.042220,0.040349,0.043952,0.089822,0.017507,0.050196,0.008631,0.046692,0.044438,0.057947,0.171935,0.028889,0.066612,0.005206,0.066666,0.061862,0.070780,0.078152,0.018621,0.096369,0.012563,0.095316,0.087647,0.103051,0.130367,0.056056,0.027675,0.005902,0.028047,0.024228,0.031773,0.213241,0.027893,0.042699,0.005215,0.042993,0.038880,0.045684,0.122128,0.023801,0.047852,0.011675,0.045634,0.040144,0.057947,0.243971,0.051507,0.068010,0.006669,0.068001,0.061862,0.072742,0.098052,0.027711,0.101448,0.012588,0.101247,0.092311,0.108478,0.124080,0.056056
9,0.047506,0.000000,0.047506,0.047506,0.047506,0.000000,0.000000,0.060995,0.000000,0.060995,0.060995,0.060995,0.000000,0.000000,0.081653,0.000000,0.081653,0.081653,0.081653,0.000000,0.000000,0.093687,0.000000,0.093687,0.093687,0.093687,0.000000,0.000000,0.112523,0.000000,0.112523,0.112523,0.112523,0.000000,0.000000,0.046020,0.004359,0.047184,0.042599,0.048595,0.094715,0.014414,0.060727,0.003260,0.060995,0.059479,0.061985,0.053685,0.011568,0.079027,0.007823,0.081331,0.073158,0.083171,0.098996,0.027846,0.091539,0.002361,0.091222,0.089134,0.093687,0.025795,0.006390,0.106333,0.007751,0.108981,0.104139,0.112523,0.072898,0.023885,0.043769,0.005061,0.044040,0.041203,0.047629,0.115622,0.018125,0.058715,0.003902,0.059619,0.055366,0.061397,0.066464,0.014429,0.074382,0.010214,0.074216,0.066748,0.082941,0.137320,0.040343,0.087914,0.005217,0.089008,0.085915,0.091552,0.059342,0.018040,0.101744,0.011375,0.098826,0.095138,0.110736,0.111797,0.042359,0.042265,0.007529,0.042599,0.037263,0.047629,0.178137,0.031941,0.057489,0.005827,0.058691,0.054159,0.061629,0.101352,0.023244,0.071055,0.013082,0.071824,0.061934,0.082803,0.184112,0.050311,0.084934,0.007044,0.086606,0.081456,0.090013,0.082940,0.027382,0.101166,0.012883,0.098826,0.091482,0.110736,0.127342,0.053489
10,0.036266,0.000000,0.036266,0.036266,0.036266,0.000000,0.000000,0.049891,0.000000,0.049891,0.049891,0.049891,0.000000,0.000000,0.061259,0.000000,0.061259,0.061259,0.061259,0.000000,0.000000,0.083450,0.000000,0.083450,0.083450,0.083450,0.000000,0.000000,0.114441,0.000000,0.114441,0.114441,0.114441,0.000000,0.000000,0.034088,0.004481,0.034150,0.031727,0.036266,0.131453,0.014016,0.050821,0.004167,0.051298,0.048592,0.052984,0.082002,0.013130,0.054819,0.009201,0.058391,0.045020,0.061382,0.167842,0.026282,0.080212,0.002664,0.080389,0.079415,0.080797,0.033207,0.009891,0.112321,0.008011,0.113856,0.107356,0.119835,0.071319,0.026420,0.028819,0.007901,0.031374,0.023768,0.034150,0.274169,0.026743,0.047127,0.007444,0.048592,0.044849,0.052396,0.157964,0.029554,0.047299,0.014098,0.052963,0.035559,0.058238,0.298052,0.043748,0.075432,0.008447,0.078143,0.073449,0.080389,0.111987,0.034839,0.113984,0.014214,0.111987,0.104091,0.120160,0.124705,0.055520,0.025879,0.008862,0.028967,0.016408,0.032708,0.342422,0.031113,0.044088,0.009087,0.045468,0.036328,0.051948,0.206116,0.033884,0.042268,0.015585,0.045051,0.027708,0.055907,0.368722,0.049989,0.070950,0.011674,0.075474,0.066133,0.078850,0.164542,0.050038,0.110581,0.017267,0.109485,0.101215,0.119835,0.156150,0.080737
11,0.020548,0.000000,0.020548,0.020548,0.020548,0.000000,0.000000,0.051530,0.000000,0.051530,0.051530,0.051530,0.000000,0.000000,0.032799,0.000000,0.032799,0.032799,0.032799,0.000000,0.000000,0.094456,0.000000,0.094456,0.094456,0.094456,0.000000,0.000000,0.151974,0.000000,0.151974,0.151974,0.151974,0.000000,0.000000,0.020393,0.001630,0.020548,0.019521,0.021299,0.079949,0.004968,0.048542,0.003804,0.047308,0.046288,0.051530,0.078358,0.011970,0.034005,0.004067,0.033566,0.031741,0.038120,0.119589,0.012144,0.090955,0.005898,0.089903,0.088380,0.094456,0.064846,0.021400,0.139553,0.014588,0.142111,0.126692,0.151974,0.104537,0.041400,0.020368,0.002552,0.020548,0.017957,0.022695,0.125282,0.008311,0.046075,0.006429,0.047308,0.041694,0.050788,0.139543,0.023353,0.034182,0.005235,0.033566,0.030867,0.038365,0.153139,0.020333,0.083824,0.011372,0.082571,0.075506,0.090374,0.135668,0.051011,0.131295,0.022394,0.125197,0.114587,0.149001,0.170565,0.088276,0.021586,0.005277,0.021161,0.017941,0.023753,0.244469,0.024029,0.046224,0.008163,0.047308,0.039668,0.051530,0.176589,0.033204,0.037794,0.011077,0.035130,0.030698,0.041202,0.293086,0.047750,0.080772,0.012985,0.078473,0.072224,0.089903,0.160761,0.054387,0.125944,0.025835,0.119640,0.106300,0.142989,0.205129,0.106328
12,0.032984,0.000000,0.032984,0.032984,0.032984,0.000000,0.000000,0.033745,0.000000,0.033745,0.033745,0.033745,0.000000,0.000000,0.047658,0.000000,0.047658,0.047658,0.047658,0.000000,0.000000,0.048171,0.000000,0.048171,0.048171,0.048171,0.000000,0.000000,0.061000,0.000000,0.061000,0.061000,0.061000,0.000000,0.000000,0.031251,0.007509,0.032984,0.024550,0.037585,0.240262,0.020042,0.037804,0.008559,0.033745,0.031008,0.046210,0.226398,0.022595,0.050399,0.015140,0.047658,0.040297,0.059879,0.300409,0.047458,0.056217,0.012154,0.053007,0.047857,0.068896,0.216205,0.034054,0.071580,0.012473,0.068409,0.061000,0.080628,0.174257,0.035177,0.030055,0.007826,0.031527,0.021100,0.037845,0.260384,0.022296,0.039055,0.008703,0.037148,0.031008,0.046210,0.222825,0.026801,0.050509,0.015742,0.050801,0.034241,0.066764,0.311666,0.049421,0.058639,0.011731,0.055754,0.048171,0.068896,0.200055,0.039644,0.076736,0.013425,0.072959,0.068409,0.083325,0.174946,0.045869,0.029110,0.007323,0.028031,0.021913,0.036128,0.251549,0.022296,0.039622,0.008186,0.039204,0.032446,0.045684,0.206607,0.032477,0.050162,0.014420,0.050311,0.036679,0.063130,0.287460,0.049421,0.059589,0.011329,0.058267,0.051798,0.067279,0.190114,0.044919,0.078766,0.013094,0.077687,0.070051,0.084739,0.166245,0.055423
13,0.017926,0.000000,0.017926,0.017926,0.017926,0.000000,0.000000,0.029508,0.000000,0.029508,0.029508,0.029508,0.000000,0.000000,0.010335,0.000000,0.010335,0.010335,0.010335,0.000000,0.000000,0.062883,0.000000,0.062883,0.062883,0.062883,0.000000,0.000000,0.247383,0.000000,0.247383,0.247383,0.247383,0.000000,0.000000,0.016101,0.002452,0.016576,0.013832,0.017926,0.152265,0.007851,0.031381,0.006785,0.029508,0.026059,0.035601,0.216226,0.020306,0.010470,0.003558,0.010090,0.007054,0.012405,0.339853,0.010504,0.065869,0.009508,0.062883,0.058235,0.071816,0.144354,0.029046,0.252494,0.012741,0.247383,0.244654,0.265484,0.050461,0.039694,0.015261,0.003717,0.016055,0.011639,0.017926,0.243559,0.015120,0.032249,0.008125,0.029508,0.024203,0.039684,0.251933,0.024095,0.011160,0.005248,0.010090,0.007054,0.014767,0.470220,0.019290,0.066588,0.012966,0.062883,0.053823,0.078881,0.194712,0.042611,0.254467,0.019922,0.247383,0.243159,0.268831,0.078289,0.080689,0.014438,0.003766,0.014230,0.010765,0.016760,0.260819,0.015580,0.033195,0.008120,0.031379,0.026059,0.040550,0.244607,0.025471,0.011278,0.005817,0.009369,0.007054,0.014061,0.515814,0.026022,0.067102,0.013676,0.062883,0.055393,0.079870,0.203802,0.048734,0.256513,0.024324,0.255053,0.244410,0.268831,0.094826,0.120107
14,0.048503,0.000000,0.048503,0.048503,0.048503,0.000000,0.000000,0.062696,0.000000,0.062696,0.062696,0.062696,0.000000,0.000000,0.075504,0.000000,0.075504,0.075504,0.075504,0.000000,0.000000,0.092980,0.000000,0.092980,0.092980,0.092980,0.000000,0.000000,0.100825,0.000000,0.100825,0.100825,0.100825,0.000000,0.000000,0.048128,0.005582,0.048058,0.046218,0.050741,0.115991,0.019705,0.062481,0.006436,0.062696,0.058088,0.064351,0.103000,0.022394,0.076117,0.010612,0.075504,0.068174,0.082205,0.139422,0.035253,0.091086,0.009264,0.090013,0.083011,0.099622,0.101711,0.029674,0.102087,0.011311,0.099639,0.094228,0.113433,0.110802,0.033325,0.046666,0.005550,0.046647,0.043120,0.050036,0.118928,0.020747,0.062493,0.006410,0.061830,0.058088,0.067475,0.102565,0.024497,0.074500,0.009993,0.073480,0.068174,0.080580,0.134136,0.036495,0.091961,0.010983,0.090013,0.082320,0.101553,0.119433,0.034934,0.110907,0.017045,0.110070,0.097201,0.125457,0.153685,0.062474,0.045196,0.007333,0.046080,0.040667,0.050036,0.162237,0.035729,0.062382,0.007165,0.062696,0.057020,0.067460,0.114859,0.029090,0.073691,0.011844,0.073480,0.064832,0.082205,0.160728,0.051001,0.093987,0.010408,0.094048,0.084596,0.101631,0.110736,0.038168,0.118685,0.020782,0.117723,0.102969,0.129178,0.175103,0.096904
15,0.038995,0.000000,0.038995,0.038995,0.038995,0.000000,0.000000,0.058505,0.000000,0.058505,0.058505,0.058505,0.000000,0.000000,0.065077,0.000000,0.065077,0.065077,0.065077,0.000000,0.000000,0.088192,0.000000,0.088192,0.088192,0.088192,0.000000,0.000000,0.124206,0.000000,0.124206,0.124206,0.124206,0.000000,0.000000,0.040921,0.006891,0.039777,0.038382,0.048917,0.168408,0.020395,0.059773,0.008162,0.058505,0.057160,0.064830,0.136543,0.026477,0.065960,0.014873,0.065077,0.050648,0.079460,0.225489,0.039991,0.088049,0.008801,0.089118,0.084706,0.093326,0.099952,0.031825,0.125269,0.015289,0.124206,0.112540,0.136993,0.122053,0.048940,0.042016,0.008342,0.043534,0.038382,0.048917,0.198544,0.032463,0.058655,0.009134,0.059077,0.053634,0.064104,0.155718,0.034085,0.066670,0.016271,0.070061,0.053638,0.077758,0.244047,0.058621,0.087736,0.010406,0.091520,0.080090,0.093891,0.118602,0.037053,0.122937,0.021373,0.124206,0.106349,0.140032,0.173849,0.076350,0.043116,0.008741,0.043534,0.038382,0.049883,0.202723,0.033766,0.058459,0.009608,0.059077,0.052706,0.064104,0.164352,0.038137,0.069730,0.016767,0.071809,0.058039,0.080319,0.240461,0.064326,0.086281,0.011952,0.090484,0.078614,0.094236,0.138525,0.043396,0.116311,0.021925,0.114034,0.103831,0.130949,0.188502,0.088813
16,0.007222,0.000000,0.007222,0.007222,0.007222,0.000000,0.000000,0.024079,0.000000,0.024079,0.024079,0.024079,0.000000,0.000000,0.015227,0.000000,0.015227,0.015227,0.015227,0.000000,0.000000,0.071785,0.000000,0.071785,0.071785,0.071785,0.000000,0.000000,0.178361,0.000000,0.178361,0.178361,0.178361,0.000000,0.000000,0.007810,0.002540,0.007222,0.005459,0.009339,0.325259,0.007698,0.023408,0.004085,0.023894,0.021466,0.024219,0.174519,0.013192,0.016327,0.004866,0.013908,0.013218,0.021115,0.298014,0.015257,0.070965,0.010187,0.069131,0.066494,0.077437,0.143551,0.037838,0.169284,0.014955,0.168076,0.158359,0.178361,0.088340,0.045787,0.009089,0.003962,0.008296,0.006425,0.011562,0.435929,0.016270,0.025578,0.006482,0.024079,0.021466,0.028997,0.253416,0.024048,0.017150,0.005822,0.015227,0.012267,0.023093,0.339480,0.020026,0.066943,0.012472,0.066494,0.057277,0.075788,0.186313,0.044794,0.161492,0.018643,0.159773,0.146937,0.176882,0.115439,0.060573,0.009463,0.003921,0.009185,0.006640,0.011393,0.414373,0.021591,0.026359,0.006061,0.025533,0.021961,0.030791,0.229936,0.024048,0.017766,0.005868,0.016208,0.013647,0.023001,0.330277,0.022694,0.065873,0.012171,0.065599,0.057701,0.071785,0.184760,0.049567,0.159253,0.020565,0.154931,0.143346,0.173763,0.129135,0.090925
17,0.018953,0.000000,0.018953,0.018953,0.018953,0.000000,0.000000,0.037179,0.000000,0.037179,0.037179,0.037179,0.000000,0.000000,0.026374,0.000000,0.026374,0.026374,0.026374,0.000000,0.000000,0.064170,0.000000,0.064170,0.064170,0.064170,0.000000,0.000000,0.135336,0.000000,0.135336,0.135336,0.135336,0.000000,0.000000,0.022819,0.004264,0.022802,0.018953,0.025041,0.186858,0.014522,0.037838,0.003816,0.037364,0.035137,0.040024,0.100842,0.013656,0.034072,0.008774,0.035958,0.026374,0.038994,0.257518,0.027126,0.064025,0.008327,0.063291,0.058659,0.064170,0.130057,0.025827,0.119380,0.016411,0.128658,0.109192,0.131469,0.137468,0.047299,0.026180,0.006465,0.024980,0.021759,0.031037,0.246925,0.022281,0.039781,0.006670,0.037952,0.035137,0.043813,0.167663,0.031147,0.039930,0.012612,0.037967,0.030315,0.049206,0.315864,0.045220,0.063015,0.009186,0.062349,0.056131,0.069006,0.145767,0.036598,0.106159,0.018643,0.100938,0.092148,0.123523,0.175613,0.055098,0.030230,0.009277,0.027832,0.023538,0.036204,0.306877,0.037723,0.042693,0.009045,0.040024,0.037101,0.046396,0.211870,0.037735,0.047114,0.016574,0.045250,0.033796,0.060385,0.351784,0.056935,0.064519,0.011763,0.063291,0.055189,0.071062,0.182326,0.048734,0.099289,0.020093,0.095983,0.084446,0.118243,0.202374,0.080851
18,0.049530,0.000000,0.049530,0.049530,0.049530,0.000000,0.000000,0.060067,0.000000,0.060067,0.060067,0.060067,0.000000,0.000000,0.080472,0.000000,0.080472,0.080472,0.080472,0.000000,0.000000,0.090249,0.000000,0.090249,0.090249,0.090249,0.000000,0.000000,0.095268,0.000000,0.095268,0.095268,0.095268,0.000000,0.000000,0.045712,0.005721,0.046172,0.040743,0.049530,0.125159,0.019873,0.056352,0.004058,0.055196,0.053108,0.059680,0.072019,0.012651,0.075494,0.007745,0.075611,0.073894,0.079445,0.102586,0.029272,0.079809,0.006454,0.079258,0.073449,0.083576,0.080869,0.018291,0.090207,0.007749,0.091076,0.089321,0.093610,0.085897,0.027264,0.041276,0.008607,0.040743,0.036051,0.046892,0.208517,0.029994,0.052222,0.008148,0.053108,0.044911,0.059247,0.156025,0.026477,0.069647,0.012571,0.072775,0.060661,0.078234,0.180493,0.046922,0.072607,0.010315,0.073135,0.064311,0.080263,0.142062,0.034620,0.083945,0.011432,0.083732,0.076030,0.092831,0.136190,0.043155,0.038489,0.009110,0.036879,0.029933,0.046172,0.236701,0.032432,0.049603,0.008849,0.050510,0.040983,0.055196,0.178386,0.029307,0.064068,0.014620,0.064387,0.050050,0.075611,0.228200,0.053899,0.069977,0.009925,0.068912,0.060920,0.073967,0.141833,0.039361,0.086369,0.012029,0.086949,0.077850,0.095268,0.139275,0.048436
